age,income,score,category,region,target
48.0,53652.0,306.82,C,North,0
42.0,57553.0,51.18,A,West,1
39.0,51057.0,-15.16,B,South,0
,,50.36,,East,1
33.0,35100.0,-103.21,B,East,0
40.0,56781.0,-93.5,C,South,0
43.0,81719.0,7.69,B,South,1
30.0,20000.0,-34.9,C,North,0
39.0,33258.0,161.05,B,North,0
38.0,49898.0,-37.87,C,North,0
43.0,65541.0,9.14,A,South,1
45.0,74060.0,217.47,A,North,1
40.0,58509.0,-16.38,A,West,0
41.0,59651.0,18.49,B,West,1
40.0,58744.0,-105.1,B,North,0
28.0,20000.0,-31.08,A,West,0
43.0,59893.0,87.72,C,North,0
44.0,74183.0,93.22,C,East,1
34.0,43688.0,-209.25,B,South,0
33.0,23240.0,8.89,B,West,0
48.0,61381.0,137.28,B,West,1
46.0,78300.0,61.81,B,South,1
35.0,41647.0,-67.91,A,West,0
44.0,91964.0,-41.13,A,North,1
35.0,30213.0,48.37,C,South,0
38.0,49932.0,-75.37,C,North,0
44.0,76941.0,66.95,A,West,1
42.0,63348.0,-49.97,A,East,0
47.0,76451.0,79.03,C,East,1
32.0,29168.0,-67.94,B,East,0
33.0,36035.0,-109.72,B,North,0
42.0,85752.0,4.94,A,East,1
46.0,71589.0,118.15,B,South,1
50.0,79456.0,135.84,C,South,1
41.0,53549.0,50.8,A,North,0
43.0,62238.0,-36.77,C,South,0
37.0,50134.0,-200.09,B,East,0
53.0,97851.0,169.86,C,East,0
38.0,44264.0,70.51,B,North,0
44.0,69259.0,106.66,A,South,1
43.0,74093.0,46.72,C,North,1
42.0,72237.0,30.87,C,South,1
48.0,67655.0,134.85,A,North,1
48.0,84718.0,215.54,A,East,1
45.0,83337.0,192.05,B,North,1
44.0,93583.0,-1.36,B,West,1
48.0,69035.0,201.46,A,South,0
50.0,105268.0,75.87,C,West,1
38.0,46355.0,-9.05,C,North,0
30.0,34082.0,-255.79,C,North,0
43.0,80030.0,-25.81,A,East,1
43.0,74303.0,49.48,C,East,1
27.0,20634.0,-173.29,C,North,0
35.0,39458.0,-97.5,A,North,0
46.0,78108.0,167.63,A,East,0
36.0,38171.0,51.09,A,East,0
44.0,60096.0,220.97,B,West,1
32.0,32153.0,-87.03,A,North,0
21.0,20000.0,-267.98,B,South,0
34.0,32488.0,-31.86,C,West,0
44.0,83500.0,64.41,A,South,1
49.0,75242.0,161.4,C,East,1
46.0,70434.0,250.41,C,North,1
45.0,77412.0,54.19,A,North,1
39.0,53066.0,-65.23,B,North,0
45.0,61594.0,70.85,C,South,1
42.0,85778.0,-25.98,C,East,1
45.0,58449.0,164.35,B,South,0
44.0,77097.0,38.26,A,East,1
,,-134.62,,West,0
45.0,81930.0,116.94,C,North,1
51.0,79380.0,168.94,B,West,1
36.0,34079.0,33.24,C,South,0
44.0,89264.0,79.46,A,South,0
37.0,35563.0,64.64,A,East,0
46.0,67266.0,232.05,A,North,1
42.0,99635.0,-207.83,C,East,1
,,371.96,,South,1
43.0,66785.0,153.79,B,South,1
45.0,81195.0,102.34,C,North,1
48.0,75149.0,95.64,B,East,1
42.0,39940.0,214.73,B,East,0
41.0,35891.0,187.75,A,North,0
47.0,67469.0,98.6,B,East,1
35.0,21756.0,118.66,B,South,0
39.0,46078.0,49.97,A,East,0
51.0,91462.0,145.21,B,West,1
44.0,71743.0,119.57,C,West,1
48.0,70177.0,161.41,A,East,0
44.0,68724.0,103.16,C,North,1
40.0,37766.0,159.54,C,West,0
47.0,83368.0,87.45,B,South,1
42.0,47206.0,156.97,B,North,0
48.0,69285.0,121.5,A,South,1
44.0,104567.0,-17.97,B,North,1
30.0,32091.0,-263.35,A,West,0
32.0,20000.0,42.5,A,South,0
46.0,84440.0,215.84,A,East,1
43.0,78302.0,47.55,C,East,1
45.0,59609.0,169.17,C,East,0
48.0,80308.0,112.37,B,West,1
39.0,66839.0,-50.55,A,East,1
47.0,70938.0,136.56,B,East,0
46.0,76700.0,236.92,B,East,1
35.0,40087.0,-91.92,C,East,0
52.0,94608.0,135.04,B,East,1
26.0,20000.0,-78.3,C,South,0
51.0,73942.0,162.83,C,North,1
35.0,44161.0,-134.19,B,East,0
35.0,38947.0,-67.02,A,West,0
38.0,38425.0,85.95,B,North,0
31.0,35509.0,-239.49,A,West,0
44.0,68219.0,158.87,B,West,1
35.0,36776.0,7.22,C,West,0
35.0,28600.0,44.35,B,East,0
30.0,30950.0,-255.25,A,North,0
43.0,82871.0,30.37,A,North,1
44.0,63780.0,159.07,A,West,1
45.0,71432.0,194.73,B,South,1
50.0,83062.0,115.99,C,North,1
30.0,20000.0,62.46,B,North,0
24.0,20000.0,-248.87,A,East,0
47.0,72368.0,130.77,C,North,1
46.0,79616.0,116.81,B,South,1
44.0,80655.0,21.25,B,West,1
41.0,41839.0,145.68,A,East,0
32.0,32774.0,-132.86,B,South,0
45.0,71788.0,219.91,C,North,1
38.0,34475.0,88.75,C,West,0
23.0,20000.0,-289.58,B,North,0
27.0,20000.0,29.7,C,North,0
,,117.13,,South,1
42.0,66621.0,-159.5,B,East,0
43.0,53556.0,117.13,B,West,0
43.0,91469.0,-32.37,B,West,1
38.0,28828.0,134.49,A,North,0
42.0,39720.0,211.52,A,South,0
42.0,47227.0,127.21,B,South,0
47.0,72266.0,95.24,C,East,1
21.0,20000.0,-230.42,A,West,0
45.0,42543.0,305.86,C,East,0
38.0,44225.0,16.62,A,East,0
45.0,74151.0,63.04,A,North,1
42.0,77620.0,1.65,A,South,1
49.0,86838.0,124.52,A,North,1
36.0,40712.0,-11.26,B,West,0
31.0,25877.0,-45.09,B,West,0
52.0,81920.0,214.26,C,West,0
49.0,72252.0,126.1,B,North,1
35.0,29468.0,40.68,A,North,0
27.0,20000.0,-155.72,C,North,0
27.0,24991.0,-249.96,C,North,0
47.0,57824.0,234.45,C,North,0
48.0,74071.0,51.07,C,South,0
45.0,72096.0,151.37,B,West,1
50.0,79285.0,123.95,A,West,0
38.0,77652.0,-82.34,B,North,1
33.0,36511.0,-192.35,C,East,0
46.0,86140.0,34.41,A,East,1
44.0,91782.0,81.61,B,East,1
36.0,39011.0,-15.03,B,North,0
39.0,34239.0,151.08,C,East,0
32.0,35258.0,-166.39,B,East,0
38.0,45640.0,4.41,A,East,0
42.0,65397.0,35.61,B,North,1
47.0,83033.0,190.34,C,South,1
38.0,32406.0,111.52,A,North,0
45.0,35123.0,357.46,B,West,0
53.0,79338.0,190.38,C,West,1
,,3.27,,West,1
40.0,80911.0,-95.3,A,North,1
42.0,64799.0,-19.78,A,West,1
38.0,75370.0,-63.51,B,South,1
45.0,73227.0,197.77,A,South,1
22.0,20000.0,-178.91,A,North,0
43.0,69542.0,33.86,B,West,1
43.0,79091.0,-2.68,C,East,1
44.0,67491.0,76.74,A,North,1
43.0,78367.0,44.03,A,West,1
42.0,68508.0,6.46,B,South,1
37.0,28971.0,104.38,C,West,0
34.0,34659.0,32.14,A,South,0
34.0,35655.0,-66.83,A,West,0
40.0,52635.0,-45.69,C,East,0
34.0,28048.0,5.22,A,North,0
53.0,68550.0,242.92,C,South,1
47.0,67520.0,94.89,B,West,1
42.0,80940.0,-6.77,C,South,1
,,130.59,,North,1
40.0,27675.0,242.29,C,North,0
51.0,82496.0,171.31,A,South,0
35.0,29877.0,47.82,A,South,0
46.0,65535.0,113.11,C,South,1
41.0,30561.0,235.6,A,North,0
42.0,56982.0,70.5,B,North,0
33.0,33032.0,-55.44,A,North,0
44.0,72767.0,114.29,C,East,1
36.0,49658.0,-179.98,C,East,0
42.0,63062.0,24.11,A,South,1
18.0,20000.0,-337.62,C,East,0
45.0,78950.0,146.65,A,West,1
44.0,70315.0,66.58,C,East,1
49.0,66370.0,236.68,B,North,0
40.0,60517.0,-131.21,C,North,0
46.0,91424.0,59.55,B,East,1
36.0,30970.0,78.04,A,West,0
43.0,55742.0,123.79,B,North,0
40.0,47059.0,87.65,C,South,0
44.0,78111.0,26.16,C,West,1
22.0,20000.0,-264.01,C,East,0
38.0,54012.0,-64.39,A,East,0
48.0,94441.0,79.56,B,North,1
36.0,44116.0,-50.04,C,East,1
38.0,44867.0,0.0,A,South,0
46.0,78915.0,60.24,B,North,1
43.0,79298.0,76.83,C,East,1
30.0,23131.0,-28.11,C,South,0
44.0,57339.0,81.5,C,South,1
22.0,20000.0,-303.44,A,East,0
43.0,60178.0,70.84,A,North,0
38.0,51970.0,-130.98,C,West,0
45.0,74781.0,95.81,C,North,1
19.0,20000.0,-194.18,A,North,0
41.0,56254.0,-4.74,B,East,0
38.0,35017.0,104.04,A,West,0
47.0,77380.0,-55.3,C,South,0
47.0,67858.0,345.03,A,South,1
,,22.26,,South,1
36.0,44242.0,-74.24,B,East,0
31.0,27083.0,-91.11,A,North,0
,,-158.87,,South,0
46.0,70145.0,116.68,B,West,0
44.0,53665.0,173.46,B,North,0
38.0,21077.0,218.55,B,West,0
45.0,92528.0,34.01,A,West,1
39.0,38545.0,103.5,C,South,0
45.0,76258.0,152.84,B,North,0
32.0,36512.0,-186.91,C,East,0
30.0,30918.0,-200.64,A,South,0
34.0,20000.0,117.54,B,South,0
48.0,59450.0,245.94,B,South,0
46.0,85886.0,231.92,C,North,1
30.0,20000.0,39.13,C,South,0
45.0,56381.0,157.23,A,East,0
27.0,20137.0,-181.84,C,West,0
41.0,56234.0,1.59,A,East,0
48.0,72495.0,147.11,C,West,0
47.0,65437.0,94.51,B,South,1
40.0,51538.0,7.51,A,East,0
43.0,62092.0,49.31,B,South,0
41.0,58751.0,-126.62,A,West,0
43.0,75612.0,78.89,B,North,0
43.0,43548.0,212.78,A,North,0
24.0,20000.0,-180.49,C,East,0
,,69.02,,North,1
38.0,34150.0,94.43,A,West,0
48.0,59819.0,150.77,B,North,1
40.0,56614.0,-110.04,B,East,0
30.0,38422.0,-358.38,A,East,0
